asset_id,name,category,description,original_cost,acquisition_date,depreciation_method,useful_life_years,depreciation_rate_annual,accumulated_depreciation,current_book_value,location,serial_number,vendor,purchase_order,warranty_expiry,status,assigned_to,department
FA-001,Dell Laptop - John Smith,Computer Equipment,Dell Latitude 5520 Laptop for employee use,2500.0,2022-01-15,Straight Line,5,20.0,1000.0,1500.0,Office - Desk 1,DL-2022-001,Dell Technologies,PO-2022-001,2025-01-15,In Use,John Smith,IT
FA-002,HP Desktop - Accounting,Computer Equipment,HP EliteDesk 800 Desktop for accounting department,1800.0,2022-03-10,Straight Line,5,20.0,720.0,1080.0,Office - Accounting,HP-2022-002,HP Inc.,PO-2022-002,2025-03-10,In Use,Accounting Team,Finance
FA-003,Office Desk - Executive,Office Furniture,Executive desk with drawers and filing cabinet,1200.0,2021-06-01,Straight Line,10,10.0,300.0,900.0,Office - Executive Suite,DESK-2021-001,Office Furniture Co.,PO-2021-001,2024-06-01,In Use,CEO,Executive
FA-004,Office Chair - Ergonomic,Office Furniture,Ergonomic office chair with lumbar support,450.0,2022-02-15,Straight Line,5,20.0,135.0,315.0,Office - Desk 1,CHAIR-2022-001,Ergonomic Solutions,PO-2022-003,2025-02-15,In Use,John Smith,IT
FA-005,Company Vehicle - Toyota Camry,Vehicles,Toyota Camry 2021 for company transportation,25000.0,2021-09-01,Straight Line,5,20.0,10000.0,15000.0,Company Garage,VIN-2021-001,Toyota Dealership,PO-2021-002,2024-09-01,In Use,Sales Team,Sales
FA-006,Production Machine - CNC,Machinery & Equipment,CNC milling machine for production,50000.0,2020-01-15,Straight Line,10,10.0,15000.0,35000.0,Production Floor,CNC-2020-001,Industrial Machinery Co.,PO-2020-001,2023-01-15,In Use,Production Team,Manufacturing
FA-007,Microsoft Office License,Software Licenses,Microsoft Office 365 Business Premium license,500.0,2022-01-01,Straight Line,3,33.33,166.65,333.35,Software License,MS-2022-001,Microsoft Corporation,PO-2022-004,2025-01-01,In Use,All Employees,IT
FA-008,Server Rack - Dell PowerEdge,Computer Equipment,Dell PowerEdge R740 Server for data center,15000.0,2021-11-01,Straight Line,5,20.0,6000.0,9000.0,Server Room,SRV-2021-001,Dell Technologies,PO-2021-003,2024-11-01,In Use,IT Team,IT
FA-009,Conference Table - Large,Office Furniture,Large conference table for meetings,2000.0,2021-08-15,Straight Line,10,10.0,400.0,1600.0,Conference Room A,TABLE-2021-001,Office Furniture Co.,PO-2021-004,2024-08-15,In Use,All Employees,General
FA-010,Printer - HP LaserJet,Computer Equipment,HP LaserJet Pro multifunction printer,800.0,2022-05-01,Straight Line,5,20.0,240.0,560.0,Office - Print Station,PRT-2022-001,HP Inc.,PO-2022-005,2025-05-01,In Use,Office Staff,General
